Frequency (B) (Hz),Peak to peak (A) (V),Normalized Peak to Peak (A) (V) ,Peak to peak (B) (V),"Phase (A, B) (Â°)",,,
11500.74,0.2484756,0.959190449,0.5218665,53.40447,,,
11500.79,0.2467116,0.952380879,0.5308695,54.06297,,,
11500.74,0.2467116,0.952380879,0.5218665,54.14491,,,
11500.79,0.2467116,0.952380879,0.5218665,54.43689,,,
11500.74,0.2484756,0.959190449,0.526368,54.60824,,,
11500.74,0.2467116,0.952380879,0.5218665,54.24996,,,
11500.74,0.2484756,0.959190449,0.5218665,53.77855,,,
11500.74,0.2484756,0.959190449,0.526368,53.50192,,,
11500.74,0.2467116,0.952380879,0.5218665,54.063,,,
11999.92,0.2484756,0.959190449,0.4993896,51.31211,,,
12000.77,0.2484756,0.959190449,0.4948882,51.21774,,,
12000.77,0.2467116,0.952380879,0.4993896,52.06787,,,
12000.77,0.2467116,0.952380879,0.4993896,51.97332,,,
11999.92,0.2519974,0.972785655,0.4993896,51.87878,,,
12000.77,0.2467116,0.952380879,0.5038911,51.97327,,,
12003,0.2502335,0.965976471,0.4948882,51.3121,,,
12000.77,0.2484756,0.959190449,0.4948882,51.12337,,,
12000.77,0.2484756,0.959190449,0.4948882,51.12342,,,
12000.77,0.2484756,0.959190449,0.4993896,51.21775,,,
12000.77,0.2519975,0.972786041,0.5038911,51.1397,,,
12000.77,0.2467116,0.952380879,0.4948882,52.06782,,,
12000.77,0.2484756,0.959190449,0.4993896,51.13971,,,
12003,0.2502335,0.965976471,0.4993896,51.21775,,,
12000.77,0.2502335,0.965976471,0.4993896,52.25705,,,
12000.77,0.2467116,0.952380879,0.4993896,52.35168,,,
12448.6,0.2502396,0.966000019,0.4858852,49.76334,,,
12500.8,0.2519974,0.972785655,0.4723808,51.05782,,,
12500.8,0.2484756,0.959190449,0.4678793,49.07431,,,
12500.8,0.2519975,0.972786041,0.4678793,49.60158,,,
12500.8,0.2484756,0.959190449,0.4678793,48.88256,,,
12502.01,0.2502396,0.966000019,0.4723808,49.7038,,,
12500.8,0.2484756,0.959190449,0.4723808,48.98446,,,
12502.01,0.2502335,0.965976471,0.4678793,48.98449,,,
12502.01,0.2484756,0.959190449,0.4678793,48.89472,,,
12502.01,0.2484756,0.959190449,0.4678793,49.0743,,,
12502.01,0.2484756,0.959190449,0.4678793,49.25397,,,
12500.8,0.2502396,0.966000019,0.4678793,49.78165,,,
12500.8,0.2484756,0.959190449,0.4678793,49.3438,,,
12500.8,0.2502396,0.966000019,0.4678793,49.16407,,,
12500.8,0.2502396,0.966000019,0.4678793,50.41292,,,
12500.8,0.2519975,0.972786041,0.4678793,49.52374,,,
13000.75,0.2502396,0.966000019,0.4454024,47.28867,,,
13000.83,0.2502396,0.966000019,0.4454024,47.2086,,,
13000.83,0.2502396,0.966000019,0.4499039,47.1986,,,
13000.83,0.2502396,0.966000019,0.4499039,47.20362,,,
13000.83,0.2537553,0.979571677,0.4454024,47.11248,,,
13000.83,0.2502396,0.966000019,0.4499039,47.29409,,,
13000.83,0.2519975,0.972786041,0.4454024,46.11901,,,
13000.83,0.2519974,0.972785655,0.4499039,47.38129,,,
13000.75,0.2502396,0.966000019,0.4499039,47.29863,,,
13000.75,0.2502396,0.966000019,0.4454024,46.93622,,,
13000.75,0.2519974,0.972785655,0.4499039,47.11246,,,
13000.75,0.2519975,0.972786041,0.4409009,46.10737,,,
13000.83,0.2502396,0.966000019,0.4499038,45.75414,,,
13000.83,0.2502396,0.966000019,0.4454024,46.75558,,,
13000.83,0.2519974,0.972785655,0.4454024,46.93182,,,
13000.83,0.2502396,0.966000019,0.4499039,47.19864,,,
13094.42,0.2519975,0.972786041,0.4499039,45.77391,,,
13500.86,0.2537553,0.979571677,0.4273965,41.94017,,,
13500.86,0.2519974,0.972785655,0.422895,40.6861,,,
13500.86,0.2519975,0.972786041,0.422895,40.98853,,,
13502.71,0.2537553,0.979571677,0.4273965,41.20726,,,
13502.71,0.2519974,0.972785655,0.4273965,41.59174,,,
13500.86,0.2502396,0.966000019,0.422895,42.03649,,,
13502.71,0.2519974,0.972785655,0.4273965,42.35965,,,
13502.71,0.2537553,0.979571677,0.4318979,41.59171,,,
13502.71,0.2502396,0.966000019,0.422895,42.07178,,,
13500.86,0.2537553,0.979571677,0.422895,41.65099,,,
13500.86,0.2519975,0.972786041,0.4273965,43.97156,,,
13502.71,0.2502396,0.966000019,0.422895,41.94017,,,
13502.71,0.2502396,0.966000019,0.422895,41.97581,,,
13500.86,0.2519975,0.972786041,0.422895,40.98854,,,
13502.71,0.2519975,0.972786041,0.4273965,41.39952,,,
13500.86,0.2537614,0.979595224,0.4273965,40.79545,,,
14000.9,0.2537553,0.979571677,0.4049043,37.21158,,,
14000.9,0.2537553,0.979571677,0.4048891,38.43671,,,
14000.9,0.2537553,0.979571677,0.4049043,37.49973,,,
14000.9,0.2537553,0.979571677,0.4049043,38.01704,,,
14001.08,0.2537553,0.979571677,0.3959166,38.48391,,,
14000.9,0.2537553,0.979571677,0.4049043,38.06191,,,
14000.9,0.2537553,0.979571677,0.3959166,38.43669,,,
14000.9,0.2519974,0.972785655,0.3959166,37.96819,,,
14000.9,0.2537553,0.979571677,0.4004028,40.49762,,,
14000.9,0.2519974,0.972785655,0.4049043,37.40606,,,
14001.08,0.2537553,0.979571677,0.4049043,39.88432,,,
14000.9,0.2537553,0.979571677,0.4048891,38.71075,,,
14001.08,0.2555193,0.986381246,0.4004028,37.36356,,,
14000.9,0.2537553,0.979571677,0.413892,38.34301,,,
14000.9,0.2537553,0.979571677,0.4093906,38.15558,,,
14000.9,0.2537553,0.979571677,0.4004028,38.15557,,,
14500.93,0.2537553,0.979571677,0.3869137,34.95475,,,
14500.93,0.2537553,0.979571677,0.3869137,35.4295,,,
14500.93,0.2537553,0.979571677,0.3914151,35.7608,,,
14500.93,0.2537553,0.979571677,0.3914151,35.43634,,,
14500.93,0.2537553,0.979571677,0.3914151,35.70609,,,
14500.93,0.2537553,0.979571677,0.3914151,35.85042,,,
14500.93,0.2537553,0.979571677,0.3869137,35.58153,,,
14500.93,0.2537553,0.979571677,0.3959166,35.94005,,,
14502.91,0.2537553,0.979571677,0.3914151,35.76081,,,
14502.91,0.2537553,0.979571677,0.3824122,35.31286,,,
14500.93,0.2537553,0.979571677,0.3914151,36.02969,,,
14500.93,0.2537553,0.979571677,0.3869137,35.07008,,,
14500.93,0.2537553,0.979571677,0.3959166,35.79602,,,
14500.93,0.2537553,0.979571677,0.3869137,35.43638,,,
14500.93,0.2537553,0.979571677,0.3869137,35.1599,,,
14500.93,0.2537553,0.979571677,0.3869137,34.98717,,,
15000.96,0.2555193,0.986381246,0.3734092,31.949,,,
15000.88,0.2555193,0.986381246,0.3734092,32.49894,,,
15000.96,0.2537553,0.979571677,0.3779107,32.68699,,,
15000.96,0.2537553,0.979571677,0.3779107,32.52113,,,
15000.96,0.2537553,0.979571677,0.3734092,31.13319,,,
15000.96,0.2537553,0.979571677,0.3707999,29.68487,,,
15000.96,0.2555193,0.986381246,0.3726005,29.06679,,,
15000.96,0.2537553,0.979571677,0.3744011,29.77907,,,
15000.96,0.2555193,0.986381246,0.3744011,27.82642,,,
15000.96,0.2537553,0.979571677,0.3689993,28.36144,,,
15000.96,0.2537553,0.979571677,0.3689993,29.50864,,,
15340.25,0.2537553,0.979571677,0.3617969,28.62436,,,
15500.99,0.2537553,0.979571677,0.3563952,26.81112,,,
15502.58,0.2537553,0.979571677,0.3545946,26.07158,,,
15498.6,0.2537553,0.979571677,0.3509934,23.11242,,,
15500.99,0.2537553,0.979571677,0.3545946,26.90561,,,
15500.99,0.2555193,0.986381246,0.3563952,24.25678,,,
15500.99,0.2555193,0.986381246,0.3599964,23.01583,,,
15500.99,0.2537553,0.979571677,0.352794,28.95424,,,
15500.99,0.2537553,0.979571677,0.3563952,23.20884,,,
15500.99,0.2537553,0.979571677,0.3545946,22.91927,,,
15500.99,0.2572833,0.993190816,0.3545946,22.82271,,,
15502.58,0.2537553,0.979571677,0.3563952,22.91928,,,
15502.58,0.2537553,0.979571677,0.3581958,24.74572,,,
15500.99,0.2537553,0.979571677,0.3545946,29.48068,,,
15500.99,0.2537553,0.979571677,0.352794,28.86114,,,
15500.99,0.2537553,0.979571677,0.3635975,23.8828,,,
15937.74,0.2537553,0.979571677,0.3473983,23.59153,,,
16000.18,0.2555193,0.986381246,0.3491928,22.42839,,,
16001.02,0.2537553,0.979571677,0.3437971,22.52257,,,
16001.02,0.2537553,0.979571677,0.3491928,22.99257,,,
16000.18,0.2537553,0.979571677,0.3473983,22.42836,,,
16001.02,0.2537553,0.979571677,0.3455977,21.57938,,,
16001.02,0.2537553,0.979571677,0.3455977,21.76836,,,
16001.02,0.2537553,0.979571677,0.3437971,22.33421,,,
16001.02,0.2537553,0.979571677,0.3438032,22.89858,,,
16001.02,0.2537553,0.979571677,0.3456038,22.80462,,,
16001.02,0.2537553,0.979571677,0.3420026,22.23993,,,
16004.29,0.2537553,0.979571677,0.3455977,21.5794,,,
16001.02,0.2537553,0.979571677,0.3473983,22.99252,,,
16001.02,0.2555193,0.986381246,0.3455977,21.76838,,,
16000.18,0.2537553,0.979571677,0.3509934,23.07907,,,
16001.02,0.2537553,0.979571677,0.3491989,22.52247,,,
16501.06,0.2537553,0.979571677,0.3329997,17.04609,,,
16501.06,0.2572833,0.993190816,0.3366008,15.09304,,,
16501.06,0.2537553,0.979571677,0.3348003,16.39538,,,
16497.51,0.2555193,0.986381246,0.3384015,15.93038,,,
16501.06,0.2537553,0.979571677,0.3311991,16.67429,,,
16501.06,0.2537553,0.979571677,0.3348003,16.67428,,,
16497.51,0.2537553,0.979571677,0.3348003,16.11642,,,
16501.06,0.2555193,0.986381246,0.3348003,15.7443,,,
16501.06,0.2537553,0.979571677,0.3329997,16.58134,,,
16501.06,0.2572833,0.993190816,0.3329997,16.02334,,,
16501.06,0.2537553,0.979571677,0.3366009,16.95315,,,
16501.06,0.2537553,0.979571677,0.3329997,16.39538,,,
16501.06,0.2555193,0.986381246,0.3329997,16.20938,,,
16501.75,0.2537553,0.979571677,0.3329997,16.58138,,,
16501.06,0.2537553,0.979571677,0.3348003,16.20936,,,
16501.06,0.2537553,0.979571677,0.3348003,16.39533,,,
17003.32,0.2537553,0.979571677,0.3239967,12.6533,,,
17003.32,0.2537553,0.979571677,0.3239967,12.56311,,,
17001.09,0.2537553,0.979571677,0.3239967,12.74353,,,
17001.09,0.2537553,0.979571677,0.3239967,12.74352,,,
17001.09,0.2537553,0.979571677,0.3257973,13.01407,,,
17003.32,0.2537553,0.979571677,0.3239967,12.83361,,,
17005.44,0.2555193,0.986381246,0.3239967,12.29276,,,
17001.09,0.2537553,0.979571677,0.3221961,13.37497,,,
17001.09,0.2537553,0.979571677,0.3257973,13.29261,,,
17001.09,0.2537553,0.979571677,0.3257973,13.01404,,,
16998.96,0.2572833,0.993190816,0.3257973,12.571,,,
17001.09,0.2537553,0.979571677,0.3239967,12.6534,,,
17001.09,0.2537553,0.979571677,0.3221961,12.56327,,,
17001.09,0.2537553,0.979571677,0.3239967,12.74353,,,
17001.09,0.2537553,0.979571677,0.3221961,13.10424,,,
17001.09,0.2537553,0.979571677,0.3239967,12.56325,,,
17504.89,0.2537553,0.979571677,0.3167943,9.44299,,,
17504.89,0.2537553,0.979571677,0.3167943,10.76261,,,
17500.4,0.2537553,0.979571677,0.3149937,10.85763,,,
17501.12,0.2537553,0.979571677,0.3203955,11.0478,,,
17501.12,0.2537553,0.979571677,0.3131931,10.28782,,,
17501.12,0.2537553,0.979571677,0.3149937,10.38275,,,
17500.4,0.2537553,0.979571677,0.3131931,10.95269,,,
17501.12,0.2537553,0.979571677,0.3131931,10.28785,,,
17501.12,0.2537553,0.979571677,0.3131931,10.09816,,,
17500.4,0.2537553,0.979571677,0.3221961,10.66758,,,
17500.4,0.2537553,0.979571677,0.3149937,10.2954,,,
17501.12,0.2537553,0.979571677,0.3131931,10.57257,,,
17501.12,0.2572833,0.993190816,0.3131931,10.66005,,,
17501.12,0.2537553,0.979571677,0.3185949,10.57259,,,
17500.4,0.2537553,0.979571677,0.3167943,11.61899,,,
17501.12,0.2537553,0.979571677,0.3149937,11.04779,,,
17501.12,0.2537553,0.979571677,0.3131931,11.33327,,,
18001.85,0.2555193,0.986381246,0.3095981,4.211916,,,
18001.15,0.2537553,0.979571677,0.3167943,5.738776,,,
18001.15,0.2537553,0.979571677,0.3113926,5.10808,,,
18001.15,0.2537553,0.979571677,0.3113987,5.558231,,,
18001.15,0.2537553,0.979571677,0.3131931,5.198,,,
18001.15,0.2537553,0.979571677,0.3113987,5.558275,,,
18001.15,0.2537553,0.979571677,0.3113926,4.928398,,,
18001.15,0.2537553,0.979571677,0.309592,4.122583,,,
18001.15,0.2537553,0.979571677,0.3131993,5.378033,,,
18001.15,0.2537553,0.979571677,0.3095981,4.748881,,,
18001.15,0.2537553,0.979571677,0.3131931,5.018218,,,
18001.85,0.2537553,0.979571677,0.3077975,4.928385,,,
18001.15,0.2537553,0.979571677,0.3131931,4.480138,,,
17997.22,0.2537553,0.979571677,0.3113926,4.748917,,,
18001.85,0.2537553,0.979571677,0.3113926,5.558284,,,
18001.15,0.2537553,0.979571677,0.3113987,5.468149,,,
18315.24,0.2537553,0.979571677,0.3113926,2.310998,,,
18501.18,0.2537553,0.979571677,0.309592,0.5105193,,,
18501.18,0.2537553,0.979571677,0.3113926,1.433409,,,
18501.18,0.2537553,0.979571677,0.3113987,1.607705,,,
18501.18,0.2537553,0.979571677,0.3149937,1.518353,,,
18501.18,0.2537553,0.979571677,0.309592,0.932802,,,
18503.29,0.2537553,0.979571677,0.3113926,1.097305,,,
18501.18,0.2537553,0.979571677,0.309592,0.7604845,,,
18503.29,0.2537553,0.979571677,0.3131931,1.097333,,,
18501.18,0.2537553,0.979571677,0.309592,0.5926208,,,
18501.18,0.2555193,0.986381246,0.3113926,1.179011,,,
18501.18,0.2537553,0.979571677,0.3131931,1.178999,,,
18501.18,0.2537553,0.979571677,0.309592,0.6775496,,,
18501.18,0.2537553,0.979571677,0.3113926,1.009719,,,
18501.18,0.2537553,0.979571677,0.309592,0.8430284,,,
18501.18,0.2537553,0.979571677,0.3131931,1.178991,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
18999.86,0.2537553,0.979571677,0.3203955,0,,,
19004.73,0.2555193,0.986381246,0.3167943,0,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
19001.22,0.2537553,0.979571677,0.3185949,0,,,
19001.22,0.2537553,0.979571677,0.3167943,0,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
19001.22,0.2537553,0.979571677,0.3167943,0,,,
19001.22,0.2537553,0.979571677,0.3149937,0,,,
19001.22,0.2537553,0.979571677,0.3167943,0,,,
19501.25,0.2572833,0.993190816,0.3185949,351.8217,,,
19501.25,0.2537553,0.979571677,0.3203955,351.6993,,,
19501.25,0.2537553,0.979571677,0.3185949,351.8438,,,
19501.25,0.2537553,0.979571677,0.3185949,353.2385,,,
19501.25,0.2537553,0.979571677,0.3203955,352.0544,,,
19501.25,0.2537553,0.979571677,0.3185949,351.9817,,,
19501.25,0.2572833,0.993190816,0.3221961,352.1583,,,
19506.24,0.2555193,0.986381246,0.3221961,351.7995,,,
19496.17,0.2555193,0.986381246,0.3185949,351.5862,,,
19501.25,0.2572833,0.993190816,0.3167943,351.4649,,,
19501.25,0.2555193,0.986381246,0.3203955,351.8438,,,
19501.25,0.2555193,0.986381246,0.3185949,351.7995,,,
19501.25,0.2537553,0.979571677,0.3185949,352.4641,,,
19501.25,0.2555193,0.986381246,0.3221961,351.6318,,,
19501.25,0.2537553,0.979571677,0.3167943,352.1486,,,
19501.25,0.2537553,0.979571677,0.3257973,353.2385,,,
20001.28,0.2555193,0.986381246,0.3257973,354.6684,,,
20001.28,0.2590472,1,0.3275979,355.94,,,
20001.28,0.2537553,0.979571677,0.3275979,355.825,,,
20001.28,0.2537553,0.979571677,0.3257973,356.5252,,,
20002.49,0.2537553,0.979571677,0.3239967,355.825,,,
20001.28,0.2537553,0.979571677,0.3275979,355.825,,,
20001.28,0.2537553,0.979571677,0.3293985,357.6594,,,
20001.28,0.2537553,0.979571677,0.3257973,357.2072,,,
20001.28,0.2537553,0.979571677,0.3275979,355.1324,,,
20001.28,0.2537553,0.979571677,0.3275979,354.9006,,,
20006.4,0.2537553,0.979571677,0.3293985,356.8562,,,
20001.28,0.2537553,0.979571677,0.3221961,355.7242,,,
20001.28,0.2555193,0.986381246,0.3239967,354.5704,,,
20001.28,0.2537553,0.979571677,0.3257973,355.7242,,,
20001.28,0.2537553,0.979571677,0.3239967,355.7242,,,
20001.28,0.2555193,0.986381246,0.3257973,355.0332,,,
20287.65,0.2555193,0.986381246,0.3293985,357.0971,,,
20501.31,0.2537553,0.979571677,0.3311991,0,,,
20501.31,0.2537553,0.979571677,0.3311991,359.2484,,,
20501.31,0.2537553,0.979571677,0.3311991,358.9318,,,
20501.31,0.2537553,0.979571677,0.3329997,359.1133,,,
20501.31,0.2537553,0.979571677,0.3329997,359.4149,,,
20501.31,0.2537553,0.979571677,0.3293985,359.2417,,,
20501.31,0.2537553,0.979571677,0.3311991,359.5538,,,
20501.31,0.2572833,0.993190816,0.3293985,359.2551,,,
20501.31,0.2537553,0.979571677,0.3311991,359.5616,,,
20501.31,0.2572833,0.993190816,0.3348003,359.0974,,,
20501.31,0.2537553,0.979571677,0.3329997,359.5596,,,
20501.31,0.2555193,0.986381246,0.3275979,358.4702,,,
20503.8,0.2537553,0.979571677,0.3293985,359.8528,,,
20501.31,0.2537553,0.979571677,0.3311991,359.2518,,,
20498.54,0.2555193,0.986381246,0.3348003,359.5596,,,
20817.32,0.2537553,0.979571677,0.340202,352.7179,,,
21001.35,0.2537553,0.979571677,0.3438032,346.1682,,,
21001.35,0.2537553,0.979571677,0.340202,347.1513,,,
21001.35,0.2537553,0.979571677,0.3366008,345.2343,,,
21001.35,0.2537553,0.979571677,0.3384015,347.8508,,,
21001.35,0.2537553,0.979571677,0.340202,348.7274,,,
21001.35,0.2572833,0.993190816,0.3384015,345.1815,,,
21001.35,0.2537553,0.979571677,0.340202,349.4191,,,
21001.35,0.2537553,0.979571677,0.3384014,345.2343,,,
21001.35,0.2537553,0.979571677,0.3384015,348.45,,,
21001.35,0.2537553,0.979571677,0.3384015,346.59,,,
21001.35,0.2537553,0.979571677,0.340202,349.8328,,,
21001.35,0.2537553,0.979571677,0.3420026,346.7304,,,
21001.35,0.2537553,0.979571677,0.340202,346.3089,,,
21001.35,0.2537553,0.979571677,0.340202,346.3577,,,
21001.35,0.2537553,0.979571677,0.3366009,347.0111,,,
21501.38,0.2537553,0.979571677,0.3455977,336.75,,,
21501.38,0.2537553,0.979571677,0.3473983,337.4948,,,
21501.38,0.2537553,0.979571677,0.3437971,336.4492,,,
21500.91,0.2572833,0.993190816,0.3420026,335.6043,,,
21501.38,0.2537553,0.979571677,0.3473983,337.461,,,
21500.91,0.2537553,0.979571677,0.3455977,336.7501,,,
21501.38,0.2537553,0.979571677,0.3455977,336.3872,,,
21501.38,0.2537553,0.979571677,0.3438032,337.0839,,,
21501.38,0.2537553,0.979571677,0.3455977,336.7665,,,
21501.38,0.2537553,0.979571677,0.3455977,337.3419,,,
21501.38,0.2537553,0.979571677,0.3437971,336.6607,,,
21501.38,0.2572833,0.993190816,0.3509934,337.6134,,,
21501.38,0.2537553,0.979571677,0.3491928,337.461,,,
21501.38,0.2537553,0.979571677,0.3455977,336.6607,,,
21500.91,0.2537553,0.979571677,0.3473983,337.4482,,,
21501.38,0.2555193,0.986381246,0.3473983,336.5992,,,
22002.1,0.2537553,0.979571677,0.3545946,334.5459,,,
22001.41,0.2519975,0.972786041,0.3545946,334.0095,,,
21996.46,0.2537553,0.979571677,0.3545946,334.6532,,,
22001.41,0.2537553,0.979571677,0.3545946,335.7288,,,
22001.41,0.2537553,0.979571677,0.352794,334.3311,,,
22001.41,0.2537553,0.979571677,0.3563952,334.9754,,,
22001.41,0.2537553,0.979571677,0.3545946,334.7606,,,
22001.41,0.2555193,0.986381246,0.3545946,333.651,,,
22001.41,0.2537553,0.979571677,0.3545946,334.7605,,,
22002.1,0.2537553,0.979571677,0.3545946,334.7606,,,
22001.41,0.2537553,0.979571677,0.3545946,335.0829,,,
22001.41,0.2537553,0.979571677,0.3545946,334.4383,,,
22001.41,0.2537553,0.979571677,0.3563952,334.5062,,,
22001.41,0.2537553,0.979571677,0.3545946,334.7204,,,
22001.41,0.2537553,0.979571677,0.3581958,335.1493,,,
22001.41,0.2537614,0.979595224,0.3545946,334.3312,,,
22501.44,0.2519975,0.972786041,0.3617969,333.0921,,,
22503.29,0.2537553,0.979571677,0.3635975,334.7764,,,
22501.44,0.2519975,0.972786041,0.3617969,332.8172,,,
22501.44,0.2537553,0.979571677,0.3617969,335.5334,,,
22501.44,0.2537553,0.979571677,0.3635975,334.0065,,,
22501.44,0.2519975,0.972786041,0.3617969,333.4543,,,
22501.44,0.2555193,0.986381246,0.3635975,333.0358,,,
22501.44,0.2519975,0.972786041,0.3635975,332.9128,,,
22503.29,0.2537553,0.979571677,0.3635975,334.9514,,,
22501.44,0.2572833,0.993190816,0.3635975,332.6798,,,
22497.52,0.2537553,0.979571677,0.3635975,334.0669,,,
22503.29,0.2537553,0.979571677,0.3617969,334.193,,,
22501.44,0.2537553,0.979571677,0.3635975,333.9023,,,
22503.29,0.2555193,0.986381246,0.3635975,332.7498,,,
22497.52,0.2537553,0.979571677,0.3635975,334.6968,,,
22503.29,0.2537553,0.979571677,0.3617969,334.9031,,,
23001.47,0.2537553,0.979571677,0.3744011,330.8917,,,
23001.47,0.2519975,0.972786041,0.3762017,330.8109,,,
23007.36,0.2519975,0.972786041,0.3780023,331.3632,,,
23001.47,0.2537614,0.979595224,0.3726005,330.1858,,,
23001.47,0.2519975,0.972786041,0.3744011,329.3598,,,
23001.47,0.2537553,0.979571677,0.3707999,330.481,,,
23001.47,0.2519975,0.972786041,0.3726005,329.5599,,,
23001.47,0.2537614,0.979595224,0.3726005,329.36,,,
23001.47,0.2519975,0.972786041,0.3726005,330.3484,,,
23004.47,0.2519975,0.972786041,0.3726005,329.8778,,,
23001.47,0.2502396,0.966000019,0.3744011,331.5696,,,
23001.47,0.2519975,0.972786041,0.3744011,329.7476,,,
23001.47,0.2519975,0.972786041,0.3726005,329.0899,,,
23004.47,0.2537553,0.979571677,0.3726005,332.0519,,,
23001.47,0.2502396,0.966000019,0.3726005,330.9774,,,
23213.37,0.2537614,0.979595224,0.3816034,329.1668,,,
23501.5,0.2555254,0.986404794,0.3816034,325.8664,,,
23505.66,0.2519975,0.972786041,0.3833979,327.411,,,
23501.5,0.2555193,0.986381246,0.386993,328.7589,,,
23501.5,0.2519975,0.972786041,0.3824122,327.4323,,,
23501.5,0.2537553,0.979571677,0.3869137,329.2262,,,
23499.63,0.2519975,0.972786041,0.3869137,328.3009,,,
23499.63,0.2519975,0.972786041,0.3914151,329.6737,,,
23501.5,0.2502396,0.966000019,0.3869137,329.0281,,,
23505.66,0.2519975,0.972786041,0.3914151,329.8193,,,
23501.5,0.2519975,0.972786041,0.3914151,330.1578,,,
23507.52,0.2502396,0.966000019,0.3914151,331.1558,,,
23501.5,0.2502396,0.966000019,0.3869137,328.9137,,,
23501.5,0.2519975,0.972786041,0.3869137,328.0003,,,
23501.5,0.2519975,0.972786041,0.3824122,328.15,,,
23501.5,0.2537614,0.979595224,0.3869137,328.0002,,,
24006.85,0.2519975,0.972786041,0.3959166,324.6743,,,
24001.54,0.2502396,0.966000019,0.3959166,326.5449,,,
24001.54,0.2519975,0.972786041,0.3959166,325.1121,,,
24001.54,0.2537553,0.979571677,0.3959166,325.2217,,,
24001.54,0.2502396,0.966000019,0.4004028,326.8473,,,
24001.54,0.2519974,0.972785655,0.3959166,326.1024,,,
24001.54,0.2502396,0.966000019,0.3959166,325.4413,,,
24001.54,0.2519975,0.972786041,0.3959166,324.5651,,,
24001.54,0.2502396,0.966000019,0.3959166,325.2217,,,
24006.85,0.2502396,0.966000019,0.3959166,325.7715,,,
24001.54,0.2502396,0.966000019,0.3959166,324.893,,,
